,Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
589,5499,C,HONGLA,Verona,13,5.77,5.88,1,0,0,0,0,0,0,3,0,0
590,5500,A,CANCELLIERI,Verona,5,6.1,6.6,1,0,0,0,0,0,0,1,0,0
591,5501,C,SIGURDSSON A.,Venezia,6,5.75,5.75,0,0,0,0,0,0,0,0,0,0
592,5502,P,ADAMONIS,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
593,5503,D,KECHRIDA,Salernitana,14,5.86,5.93,0,0,0,0,0,0,1,0,0,0
594,5504,C,COULIBALY L.,Salernitana,31,5.79,5.74,0,0,0,0,0,0,0,3,0,0
595,5505,A,KAIO JORGE,Juventus,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0
596,5506,A,EKUBAN,Genoa,29,5.71,5.84,1,0,0,0,0,0,2,2,0,0
597,5507,C,BUSIO,Venezia,28,5.88,5.88,1,0,0,0,0,0,1,8,0,0
598,5508,C,VACCA,Venezia,21,5.86,5.74,0,0,0,0,0,0,0,5,0,0
599,5509,D,VINA,Roma,23,5.74,5.74,0,0,0,0,0,0,1,2,0,0
600,5510,C,ROMERO L.,Lazio,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0
601,5511,C,MATHEUS HENRIQUE,Sassuolo,20,5.88,5.8,0,0,0,0,0,0,0,3,0,0
602,5512,A,DE LUCA,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
603,5513,D,DUMFRIES,Inter,32,6.22,6.77,5,0,0,0,0,0,4,3,0,0
604,5514,D,VASQUEZ,Genoa,28,5.89,5.88,1,0,0,0,0,0,0,7,0,0
605,5515,A,OKEREKE,Venezia,30,5.92,6.5,7,0,0,0,0,0,0,5,1,0
606,5516,C,BIANCO,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
607,5517,C,YEPES,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
608,5518,P,MARFELLA,Napoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
609,5519,C,SHER,Spezia,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
610,5520,D,CAMBIASO,Genoa,25,5.94,6.12,1,0,0,0,0,0,4,3,1,0
611,5521,P,BERTINATO,Venezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
612,5523,A,BIANCHI F.,Genoa,6,5.75,6.25,1,0,0,0,0,0,0,0,0,0
613,5524,D,SERPE,Genoa,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
614,5525,A,GALAZZI,Venezia,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
615,5526,D,SCALVINI,Atalanta,14,5.96,6.14,1,0,0,0,0,0,0,1,0,0
616,5527,D,ZANOLI,Napoli,6,5.92,5.75,0,0,0,0,0,0,0,2,0,0
617,5528,P,ZOVKO,Spezia,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
618,5529,A,HENRY,Venezia,32,6.0,6.69,9,0,0,0,0,0,2,4,1,2
619,5673,A,ANTISTE,Spezia,15,5.77,5.97,1,0,0,0,0,0,0,0,0,0
620,5674,C,BASIC,Lazio,20,5.85,5.88,0,0,0,0,0,0,2,3,0,0
621,5675,D,THEATE,Bologna,30,5.92,6.05,2,0,0,0,0,0,1,6,0,0
622,5676,A,SUCCESS,Udinese,19,6.26,6.82,2,0,0,0,0,0,6,1,1,0
623,5677,D,PEREZ N.,Udinese,20,5.75,5.65,0,0,0,0,0,0,1,6,0,0
624,5678,D,HOLM,Spezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
625,5682,P,MOLLA,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
626,5684,C,TOURE' A.,Genoa,7,5.5,5.43,0,0,0,0,0,0,0,1,0,0
627,5685,C,KOOPMEINERS,Atalanta,28,6.3,6.62,4,0,0,0,0,0,1,4,0,1
628,5686,D,SOPPY,Udinese,19,5.92,5.82,0,0,0,0,0,0,0,4,0,0
629,5688,C,HARROUI,Sassuolo,10,5.8,5.7,0,0,0,0,0,0,0,2,0,0
630,5689,C,IHATTAREN,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
631,5690,A,STRELEC,Spezia,9,5.67,6.0,1,0,0,0,0,0,0,0,0,0
632,5691,D,ZIMA,Torino,18,5.89,5.81,0,0,0,0,0,0,0,3,0,0
633,5693,D,KIWIOR,Spezia,22,5.77,5.64,0,0,0,0,0,0,0,6,0,0
634,5694,A,BETO,Udinese,28,6.11,7.27,11,0,0,0,0,0,0,1,0,0
635,5695,D,HAPS,Venezia,25,5.84,5.88,1,0,0,0,0,0,1,6,0,0
636,5701,D,OBERT,Cagliari,4,5.88,5.88,0,0,0,0,0,0,0,0,0,0
637,5704,P,RUSSO,Salernitana,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
638,5705,C,GALDAMES,Genoa,18,5.64,5.58,0,0,0,0,0,0,0,2,0,0
639,5707,P,PIANA,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
640,5713,P,NERI,Venezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
641,5714,A,GONDO,Salernitana,14,5.89,6.07,1,0,0,0,0,0,0,1,0,0
642,5716,A,PODGOREANU,Spezia,2,5.75,6.25,0,0,0,0,0,0,1,0,0,0
643,5718,D,VITI,Empoli,19,5.82,5.63,0,0,0,0,0,0,0,1,1,1
644,5719,C,ASLLANI,Empoli,18,6.0,6.17,1,0,0,0,0,0,1,2,0,0
645,5722,C,NGUIAMBA,Spezia,2,6.25,6.0,0,0,0,0,0,0,0,1,0,0
646,5725,C,KONE B.,Torino,1,5.0,5.0,0,0,0,0,0,0,0,0,0,0
647,5728,A,AFENA-GYAN,Roma,14,5.86,6.11,2,0,0,0,0,0,0,3,1,0
648,5732,A,DISTEFANO,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
649,5734,A,SOULE',Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
650,5735,C,VOLPATO,Roma,1,7.0,10.0,1,0,0,0,0,0,0,0,0,0
651,5739,D,DE WINTER,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
652,5740,D,ZANOTTI,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
653,5747,D,RUAN,Sassuolo,5,5.5,5.4,0,0,0,0,0,0,0,1,0,0
654,5748,D,HEFTI,Genoa,16,5.81,5.78,0,0,0,0,0,0,0,1,0,0
655,5750,D,OSTIGARD,Genoa,15,5.63,5.43,0,0,0,0,0,0,0,2,2,0
656,5753,A,SAMELE,Sassuolo,1,6.0,7.0,0,0,0,0,0,0,1,0,0,0
657,5755,A,YEBOAH,Genoa,17,5.71,5.71,0,0,0,0,0,0,1,2,0,0
658,5756,D,STANGA,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
659,5757,D,CITTADINI,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
660,5759,C,OLIVEIRA,Roma,13,5.85,6.12,1,0,0,1,1,0,0,5,0,0
661,5762,D,MOTOC,Salernitana,1,4.5,4.5,0,0,0,0,0,0,0,0,0,0
662,5763,D,PERRONE,Salernitana,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
663,5764,D,COPPOLA D.,Verona,3,5.83,5.83,0,0,0,0,0,0,0,0,0,0
664,5767,D,KERAMITSIS,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
665,5772,C,PYYHTIA,Bologna,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
666,5773,D,ULLMANN,Venezia,4,5.5,5.5,0,0,0,0,0,0,0,0,0,0
667,5776,A,CEIDE,Sassuolo,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
668,5779,D,ANNAN,Bologna,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
669,5780,A,DE NIPOTI,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
670,5781,C,SIDIBE A.,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
671,5782,C,KOURFALIDIS,Cagliari,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
672,5783,C,RUSSO AL.,Salernitana,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
673,5784,C,AEBISCHER,Bologna,8,5.88,5.81,0,0,0,0,0,0,0,1,0,0
674,5785,A,LAZETIC,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
675,5786,A,CABRAL,Fiorentina,12,6.0,6.54,2,0,0,0,0,0,1,1,0,0
676,5788,C,SABIRI,Sampdoria,13,6.15,6.88,3,0,0,0,0,0,2,3,0,0
677,5789,C,PRASZELIK,Verona,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
678,5791,C,FRENDRUP,Genoa,10,5.8,5.75,0,0,0,0,0,0,0,1,0,0
679,5792,C,EDERSON D.S.,Salernitana,15,6.17,6.47,2,0,0,0,0,0,1,5,0,0
680,5793,D,KASIUS,Bologna,5,5.9,5.9,0,0,0,0,0,0,0,0,0,0
681,5796,A,SUPRYAGA,Sampdoria,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
682,5797,A,NSAME,Venezia,10,5.85,5.95,0,0,0,0,0,0,1,0,0,0
683,5798,C,BOHINEN,Salernitana,10,5.95,5.8,0,0,0,0,0,0,1,5,0,0
684,5800,C,GUDMUNDSSON A.,Genoa,11,5.68,5.82,1,0,0,0,0,0,0,3,0,0
685,5801,A,MOUSSET,Salernitana,4,5.75,5.75,0,0,0,0,0,0,1,2,0,0
686,5802,A,MIKAEL,Salernitana,4,6.12,6.12,0,0,0,0,0,0,0,0,0,0
687,5804,D,CACACE,Empoli,8,5.81,5.75,0,0,0,0,0,0,0,1,0,0
688,5806,A,SECK,Torino,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0
689,5807,A,JOVANE,Lazio,3,5.83,6.83,1,0,0,0,0,0,0,0,0,0
690,5808,A,GIOVINCO,Sampdoria,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0
691,5810,C,TRIMBOLI,Sampdoria,3,5.83,5.67,0,0,0,0,0,0,0,1,0,0
692,5812,C,TERRACCIANO F.,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
693,5813,C,MIRETTI,Juventus,4,6.0,6.0,0,0,0,0,0,0,0,0,0,0
694,5814,A,CISSE' M.,Atalanta,1,7.0,10.0,1,0,0,0,0,0,0,0,0,0
695,5817,A,BAH,Venezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
696,5820,D,BERTOLA,Spezia,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
697,5821,D,STIVANELLO,Bologna,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
698,5822,P,BAGNOLINI,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
699,5823,C,BALDANZI,Empoli,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
700,5824,C,PAFUNDI,Udinese,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
701,5825,A,MIKAELSSON,Venezia,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
702,5826,C,LEAL,Venezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
703,5828,C,PINZI R.,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
